id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_2249399084,Bresser-Mooca,-23.546276,-46.6070715,onibus,0.5,0
osm_2249399085,Bresser-Mooca,-23.5464119,-46.6070362,onibus,0.5,0
osm_2249399086,Brás,-23.5477747,-46.6158154,onibus,0.5,0
osm_2249399087,Pedro II,-23.5496666,-46.6259438,onibus,0.5,0
osm_2262085997,Brás,-23.5451551,-46.6160651,onibus,0.5,0
osm_2262085998,Brás,-23.5451723,-46.616094,onibus,0.5,0
osm_2262086000,Brás,-23.5453233,-46.6163473,onibus,0.5,0
osm_2262086001,Brás,-23.5454011,-46.6164778,onibus,0.5,0
osm_2262086003,Brás,-23.5454214,-46.6165118,onibus,0.5,0
osm_2271182458,Anhangabaú,-23.5479372,-46.6389981,onibus,0.5,0
osm_2271182461,República,-23.5440463,-46.642904,onibus,0.5,0
osm_2271182462,Santa Cecília,-23.5393091,-46.6489353,onibus,0.5,0
osm_2355070882,OSM Node 2355070882,-23.5041766,-46.6266936,onibus,0.5,0
osm_2355070889,OSM Node 2355070889,-23.5040201,-46.6270844,onibus,0.5,0
osm_2387110655,OSM Node 2387110655,-23.5025702,-46.6246118,onibus,0.5,0
osm_2457251657,OSM Node 2457251657,-23.539446,-46.6480786,onibus,0.5,0
osm_2486712501,OSM Node 2486712501,-23.5472015,-46.6069503,onibus,0.5,0
osm_2487413802,República,-23.5441194,-46.6430267,onibus,0.5,0
osm_2520196336,OSM Node 2520196336,-23.503003,-46.6236101,onibus,0.5,0
osm_2530563805,OSM Node 2530563805,-23.5465319,-46.6306171,onibus,0.5,0
osm_2568278077,OSM Node 2568278077,-23.5297111,-46.6421208,onibus,0.5,0
osm_2723887824,OSM Node 2723887824,-23.5076907,-46.6023981,onibus,0.5,0
osm_2736447216,Armênia,-23.5254676,-46.6293903,onibus,0.5,0
osm_2736447222,Carandiru,-23.5091623,-46.6249674,onibus,0.5,0
osm_2736447248,Luz,-23.5370573,-46.6337454,onibus,0.5,0
osm_2736447252,Portuguesa - Tietê,-23.516546,-46.625201,onibus,0.5,0
osm_2736447255,Santana,-23.5030545,-46.6247991,onibus,0.5,0
osm_2736447258,São Bento,-23.5440705,-46.6341833,onibus,0.5,0
osm_2736447262,Tiradentes,-23.530914,-46.6323435,onibus,0.5,0
osm_2746641647,OSM Node 2746641647,-23.5320846,-46.6193016,onibus,0.5,0
osm_2746641648,OSM Node 2746641648,-23.5337073,-46.6188827,onibus,0.5,0
osm_2751703395,Luz,-23.536244,-46.6345503,onibus,0.5,0
osm_2751703399,Luz,-23.5362644,-46.6345194,onibus,0.5,0
osm_2751703427,República,-23.5440787,-46.6425968,onibus,0.5,0
osm_2783736244,OSM Node 2783736244,-23.5162948,-46.6252628,onibus,0.5,0
osm_3409326642,OSM Node 3409326642,-23.5304689,-46.6469237,onibus,0.5,0
osm_3409326643,OSM Node 3409326643,-23.5298635,-46.6471881,onibus,0.5,0
osm_3409326644,OSM Node 3409326644,-23.5333715,-46.6447971,onibus,0.5,0
osm_3409326645,OSM Node 3409326645,-23.5324711,-46.6452468,onibus,0.5,0
osm_3414739669,OSM Node 3414739669,-23.5271518,-46.6107123,onibus,0.5,0
osm_3414739671,OSM Node 3414739671,-23.5256,-46.6132356,onibus,0.5,0
osm_3414744088,OSM Node 3414744088,-23.5295006,-46.6084055,onibus,0.5,0
osm_3426897767,OSM Node 3426897767,-23.5294896,-46.6206706,onibus,0.5,0
osm_3426897769,OSM Node 3426897769,-23.5313766,-46.6212344,onibus,0.5,0
osm_3426897770,OSM Node 3426897770,-23.5314887,-46.6216126,onibus,0.5,0
osm_3429193747,OSM Node 3429193747,-23.5078048,-46.626233,onibus,0.5,0
osm_3429193750,OSM Node 3429193750,-23.5087565,-46.6261999,onibus,0.5,0
osm_3511781364,Anhangabaú,-23.547819,-46.6392744,metro,0.8,0
osm_3716323966,OSM Node 3716323966,-23.5442138,-46.6425297,acesso,0.5,0
osm_3716323967,OSM Node 3716323967,-23.5440037,-46.6427531,acesso,0.5,0
osm_3716323968,OSM Node 3716323968,-23.5439246,-46.6421066,acesso,0.8,0
osm_3716323969,OSM Node 3716323969,-23.5437492,-46.6438926,acesso,0.5,0
osm_3716323970,OSM Node 3716323970,-23.5430361,-46.6439704,acesso,0.5,0
osm_3718145444,OSM Node 3718145444,-23.5481999,-46.6381743,acesso,0.8,0
osm_3718178856,OSM Node 3718178856,-23.5478856,-46.6378919,acesso,0.5,0
osm_3738626462,OSM Node 3738626462,-23.5440032,-46.6340132,acesso,0.5,0
osm_3738638144,OSM Node 3738638144,-23.5436419,-46.635246,acesso,0.5,0
osm_4117565742,Brás,-23.5478581,-46.6159196,metro,0.5,0
osm_4117571828,Pedro II,-23.5496994,-46.6259819,metro,0.5,0
